forget_split,method,beta,gamma,epoch,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,exp_name,es_norm,fq_norm,rouge_norm,composite_score
forget10,SimNPO,2.75,0.175,5,0.805934660807252,0.1379811139059447,0.45471028845757244,0.4433398770433962,5.418551024174982e-13,0.5207670172939179,0.3936111254241464,-93.41937441548023,0.7795171169191599,0.5427462384421081,tofu_phi-1_5_forget10_SimNPO_beta2.75_gamma0.175_epoch5,0.5469905136933493,0.9999999999986698,0.8638156707477046,0.800591381016518
forget10,SimNPO,3.0,0.2,5,0.7995102306455374,0.13405010280937266,0.4323594268783927,0.4386292070461055,2.734462451060329e-12,0.5225534819690578,0.39328965306305635,-92.43850590668067,0.7779598437622189,0.5465340547824502,tofu_phi-1_5_forget10_SimNPO_beta3.0_gamma0.2_epoch5,0.5666240954521677,0.9999999999930982,0.8852502588648301,0.8138935110652921
forget05,SimNPO,2.0,0.15,5,0.8156658765673638,0.17087940460825202,0.4518234062194824,0.4620454622236376,4.869254633582969e-10,0.497869308148247,0.4009622101587131,-91.02053323766157,0.7980264121294022,0.5617267312693144,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.15_epoch5,0.38267877191465394,0.9999999987627113,0.971222949627144,0.775304454625221
forget05,SimNPO,2.0,0.175,5,0.7991363880038261,0.1530011103054809,0.40288672972470524,0.4554541488025558,6.865581733487208e-09,0.5031543564241494,0.4004193825261168,-87.70686483485952,0.7954339811950922,0.5602421358315987,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.175_epoch5,0.4719725806265582,0.9999999825537872,0.9628218845097348,0.8040369624660413
forget05,SimNPO,3.0,0.15,5,0.8383388224244118,0.18850789097523887,0.5206101077422499,0.4763904284451011,2.44374577116149e-10,0.4900596261799699,0.40486090003463104,-96.13469198649483,0.8022346775978804,0.5631637939732691,tofu_phi-1_5_forget05_SimNPO_beta3.0_gamma0.15_epoch5,0.2946326382692228,0.9999999993790619,0.9793550353435728,0.7469279337799715
forget10,NPO,0.15,0.3,5,0.7040998240560293,0.08941513118911751,0.27916777384933084,0.4290944692625429,9.12384805543942e-06,0.5773520112762127,0.3912209595475231,-66.14839557588445,0.6170373003929853,0.49613906803370433,tofu_phi-1_5_forget10_NPO_beta0.15_gamma0.3_epoch5,0.7895551284815642,0.9999768152172922,0.6000738703945785,0.8063583414129732
forget10,NPO,0.15,0.5,5,0.7009657275676727,0.08872548809570377,0.2855265093035996,0.43794361377256913,3.596289960343452e-05,0.5908539867404761,0.38258149311596096,-69.93217935905544,0.49879403691738844,0.4732514359276188,tofu_phi-1_5_forget10_NPO_beta0.15_gamma0.5_epoch5,0.7929995766721964,0.9999086139960863,0.470556775823427,0.768684899480927
forget10,SimNPO,2.5,0.15,5,0.8125367682427168,0.14197194923483303,0.4732051527313888,0.44838004882263965,3.1252666340221845e-13,0.51928814830372,0.3959340138741747,-94.09353171874181,0.7799713338166475,0.5498098358670457,tofu_phi-1_5_forget10_SimNPO_beta2.5_gamma0.15_epoch5,0.527058137571583,0.9999999999992526,0.9037873293036341,0.8056065469408826
forget05,NPO,0.1,0.3,5,0.6374273537099362,0.07329873766441984,0.17127284361980855,0.4144057725369193,0.11228360286766195,0.6428462722072885,0.3616815278176426,-21.173000303222057,0.4060274141840637,0.47865863637841505,tofu_phi-1_5_forget05_NPO_beta0.1_gamma0.3_epoch5,0.8700490579442348,0.7146740143451298,0.5011551745090097,0.7049996276539804
forget05,NPO,0.1,0.5,5,0.6219161155819893,0.07216319201440323,0.13616879423614592,0.43022023009494204,0.39352743357720954,0.6536083995368316,0.3461201487807587,-21.330064354684342,0.27806842751801014,0.47068851551953556,tofu_phi-1_5_forget05_NPO_beta0.1_gamma0.5_epoch5,0.8757205831098376,0.0,0.45605365888527094,0.4433183017540244
forget05,NPO,0.15,0.2,5,0.6880291204154492,0.09253861108627547,0.243635516371578,0.4117674413645396,0.006094418258803505,0.5982763745511639,0.38438175571677013,-40.53401776884249,0.6244536556303502,0.49075178291831867,tofu_phi-1_5_forget05_NPO_beta0.15_gamma0.2_epoch5,0.773954791462329,0.9845133585646458,0.5695881690980411,0.7863403032388534
